gnd,pctile,year,count,hh_inc,le_agg,le_raceadj
F,34,2013,457348,35522.24,85.17992,85.18312
F,34,2014,440414,33982.6,85.0806,85.09457
F,35,2001,400704,41722.06,84.40336,84.44054
F,35,2002,413567,42279.34,85.21319,85.22896
F,35,2003,422705,41675.87,83.73962,83.78267
F,35,2004,430269,41007.18,85.33639,85.3502
F,35,2005,435861,40609.61,84.24987,84.27579
F,35,2006,441113,40793.6,85.12262,85.1421
F,35,2007,445530,40607.87,85.2048,85.21223
F,35,2008,450559,40697.87,85.77393,85.77576
F,35,2009,461409,40110.43,85.07726,85.0937
F,35,2010,461078,39066.7,84.98367,85.01223
F,35,2011,459398,38000.84,85.16076,85.17712
F,35,2012,459699,37386.35,85.4305,85.4325
F,35,2013,457377,36588.3,84.16717,84.19438
F,35,2014,440415,34994.23,85.9934,85.98335
F,36,2001,400656,42879.71,84.13293,84.17497
F,36,2002,413522,43456.65,83.30737,83.36485
F,36,2003,422802,42828.29,83.0486,83.11277
F,36,2004,430176,42144.75,84.29102,84.32418
F,36,2005,435948,41737.49,83.81933,83.86028
F,36,2006,440961,41937.45,85.13821,85.15544
F,36,2007,445391,41760.52,85.90344,85.90373
F,36,2008,450630,41868.56,84.09102,84.12415
F,36,2009,461388,41290.53,86.19807,86.1916
F,36,2010,461172,40207.09,86.18181,86.18732
F,36,2011,459450,39110.59,85.72585,85.73244
F,36,2012,459911,38480.19,85.98204,85.97502
F,36,2013,457395,37672.86,84.58149,84.60471
F,36,2014,440389,36020.03,85.76389,85.76259
F,37,2001,400569,44050.61,83.13107,83.20146
F,37,2002,413597,44648.28,84.56168,84.59047
F,37,2003,422656,43995.36,84.20588,84.2454
F,37,2004,430266,43296.25,84.12274,84.15765
F,37,2005,435991,42878.83,84.68271,84.71354
F,37,2006,441128,43098.2,83.71356,83.76379
F,37,2007,445350,42932.84,85.41652,85.4241
F,37,2008,450616,43055.95,85.24352,85.25333
F,37,2009,461357,42487.71,85.15341,85.1747
F,37,2010,461056,41366.79,85.42392,85.44806
F,37,2011,459382,40235.87,85.23083,85.24984
F,37,2012,459927,39593.57,85.27856,85.29295
F,37,2013,457389,38782.54,85.32438,85.33024
F,37,2014,440510,37065.2,86.07777,86.06859
F,38,2001,400596,45233.92,82.80567,82.88802
F,38,2002,413634,45851.41,84.05971,84.1099
F,38,2003,422750,45172.66,84.13206,84.17692
F,38,2004,430134,44461.05,84.14198,84.18319
F,38,2005,435923,44039.61,84.02877,84.07092
F,38,2006,440933,44276.26,84.91605,84.93719
F,38,2007,445475,44118.86,85.63451,85.6426
F,38,2008,450723,44256.58,85.57124,85.58387
F,38,2009,461353,43701.66,85.82381,85.83815
F,38,2010,461106,42546.16,85.66313,85.68233
F,38,2011,459391,41382.07,85.46587,85.47936
F,38,2012,459922,40726.42,84.63523,84.66573
F,38,2013,457427,39909.66,84.83689,84.85312
F,38,2014,440447,38134.6,85.47277,85.48228
F,39,2001,400722,46431.88,82.97958,83.06095
F,39,2002,413515,47068.7,83.65932,83.71879
F,39,2003,422729,46364.77,83.93436,83.9894
F,39,2004,430313,45641.22,84.04654,84.09145
F,39,2005,435937,45210.83,84.49014,84.52744
F,39,2006,441123,45470.39,85.27411,85.29322
F,39,2007,445559,45320.64,85.03683,85.05818
F,39,2008,450586,45476.14,85.24158,85.26044
F,39,2009,461363,44934.92,84.96922,85.00535
F,39,2010,461136,43744.47,86.60589,86.61476
F,39,2011,459612,42548.35,85.45528,85.47257
F,39,2012,459899,41881.56,85.51013,85.52542
F,39,2013,457464,41060.76,86.27914,86.26611
F,39,2014,440486,39219.09,86.59918,86.58056
F,40,2001,400628,47642.88,83.23786,83.31218
F,40,2002,413602,48295.95,84.59757,84.63416
F,40,2003,422788,47564.95,84.08299,84.13036
F,40,2004,430311,46833.76,85.01067,85.04298
F,40,2005,436015,46396.86,85.23212,85.25383
F,40,2006,441107,46677.78,84.59582,84.62878
F,40,2007,445401,46539.7,84.51854,84.55456
F,40,2008,450591,46715.34,85.78056,85.79106
F,40,2009,461450,46187.05,86.01336,86.02582
