cz,czname,pop2000,fips,statename,stateabbrv,le_raceadj_q1_F,le_raceadj_q1_M,count_q1_F,count_q1_M
34201,Havre,25840.0,30,Montana,MT,82.6797,76.73498,18000,17483
34203,Great Falls,95101.0,30,Montana,MT,82.36389,77.40007,65735,62013
34301,Cody,37247.0,56,Wyoming,WY,81.69185,80.06049,27013,25785
34303,Riverton,35804.0,56,Wyoming,WY,80.52629,75.21766,27717,25247
34304,Sheridan,46306.0,56,Wyoming,WY,81.51945,75.83424,33555,31614
34308,Billings,152638.0,30,Montana,MT,82.35806,77.36598,104306,96134
34402,Bozeman,93985.0,30,Montana,MT,84.06308,79.83083,62389,65694
34403,Helena,70150.0,30,Montana,MT,82.58517,78.38467,47717,47853
34404,Butte,54033.0,30,Montana,MT,80.61938,76.19263,38716,38263
34503,Kalispell,111205.0,30,Montana,MT,84.11393,79.96591,105990,98734
34504,Missoula,135756.0,30,Montana,MT,84.09608,78.99892,101512,96932
34601,Gillette,46229.0,56,Wyoming,WY,80.30761,74.69586,22942,20309
34603,Casper,78585.0,56,Wyoming,WY,79.89111,74.78499,47799,44023
34701,Honolulu,876156.0,15,Hawaii,HI,80.32243,75.97797,454442,446383
34702,Kauai,58463.0,15,Hawaii,HI,80.72758,77.20157,40281,41833
34703,Maui,128241.0,15,Hawaii,HI,81.84774,77.5971,91376,95340
34801,Las Vegas,49495.0,35,New Mexico,NM,81.01965,74.80569,45281,43945
34802,Santa Fe,218804.0,35,New Mexico,NM,83.33039,78.01007,176584,168165
34805,Alamosa,46190.0,8,Colorado,CO,82.68806,77.49353,39751,39394
34901,Albuquerque,755244.0,35,New Mexico,NM,81.0876,75.53149,526483,498621
35001,Phoenix,3303211.0,4,Arizona,AZ,82.18101,76.97443,1847039,1897655
