gnd,year,age,dm1_pop,dm1_dead,cdc_dead,cdc_pop
F,2011,67,1583525,16030,16541,1366334
F,2012,67,1578600,15631,15983,1377451
F,2013,67,1855511,18200,16422,1373271
F,2014,67,2061755,20489,20820,1832245
F,2001,68,1161825,15170,16051,1001409
F,2002,68,1206319,15579,15572,981106
F,2003,68,1228897,15603,16040,1051571
F,2004,68,1231960,15185,15387,1035666
F,2005,68,1260648,15378,15415,1040489
F,2006,68,1311195,15487,15387,1090864
F,2007,68,1312071,15060,15231,1099908
F,2008,68,1371734,15738,15696,1150404
F,2009,68,1417429,15964,15807,1174695
F,2010,68,1569412,17462,16770,1236376
F,2011,68,1610755,17833,18091,1406096
F,2012,68,1567495,17260,17908,1350715
F,2013,68,1562969,17022,17386,1361259
F,2014,68,1837311,19814,17638,1361047
F,2001,69,1199837,17064,17612,996458
F,2002,69,1146655,16315,17166,987351
F,2003,69,1190740,16570,16444,967432
F,2004,69,1213294,15891,16415,1037034
F,2005,69,1216775,16121,16402,1021404
F,2006,69,1245270,16086,16049,1026329
F,2007,69,1295708,16270,16405,1075855
F,2008,69,1297011,16451,16768,1084904
F,2009,69,1355996,16462,16300,1134860
F,2010,69,1401465,17177,16879,1147565
F,2011,69,1551950,18768,18006,1237599
F,2012,69,1592922,19235,19406,1388207
F,2013,69,1550235,18453,19327,1334729
F,2014,69,1545947,18103,18551,1347458
F,2001,70,1167110,18299,19075,994877
F,2002,70,1182773,18356,18817,978995
F,2003,70,1130340,17330,18349,969166
F,2004,70,1174170,17445,17435,948585
F,2005,70,1197403,17339,17757,1016272
F,2006,70,1200654,16809,17405,1000140
F,2007,70,1229184,16954,16819,1003987
F,2008,70,1279438,17597,17488,1051554
F,2009,70,1280560,16840,17286,1059376
F,2010,70,1339534,17585,17567,1097510
F,2011,70,1384288,18352,18205,1144368
F,2012,70,1533182,19967,19152,1219998
F,2013,70,1573687,20955,21123,1371215
F,2014,70,1531782,19756,20463,1317238
F,2001,71,1222698,20346,21031,1018307
F,2002,71,1148811,19294,20183,979452
F,2003,71,1164417,19228,19539,964958
F,2004,71,1113010,17818,18663,956125
F,2005,71,1156725,18501,18588,937061
F,2006,71,1180064,18243,18621,1005603
F,2007,71,1183845,17753,17972,990705
F,2008,71,1212230,17994,18059,995703
F,2009,71,1261841,18382,18303,1044260
F,2010,71,1263720,18425,18436,1049175
F,2011,71,1321949,18758,18554,1090731
F,2012,71,1365936,19621,19421,1126530
F,2013,71,1513215,21339,20607,1202131
F,2014,71,1552732,22328,22721,1350392
F,2001,72,1176731,21215,22278,969044
F,2002,72,1202352,21402,22352,997815
F,2003,72,1129517,20343,21437,959437
F,2004,72,1145189,19872,20717,944588
F,2005,72,1095192,19032,19942,935793
F,2006,72,1138224,19470,19073,917086
F,2007,72,1161821,19069,19752,983890
F,2008,72,1166092,19351,19825,968816
F,2009,72,1194236,19074,18790,973444
F,2010,72,1243459,19569,19481,1010549
F,2011,72,1245295,19298,19650,1031783
F,2012,72,1303191,20153,19729,1072341
F,2013,72,1346315,21158,20718,1107284
F,2014,72,1491876,23140,22015,1183338
F,2001,73,1195955,23383,24644,972997
F,2002,73,1155516,22927,23633,948338
F,2003,73,1180950,22867,23401,977035
F,2004,73,1109174,21344,22002,939444
F,2005,73,1125317,21549,21848,925511
F,2006,73,1076160,19894,21009,917734
F,2007,73,1118754,20402,20062,899567
F,2008,73,1142752,20612,21066,965653
F,2009,73,1146741,19729,20246,951400
F,2010,73,1175162,20141,20061,949097
F,2011,73,1223890,20815,20698,1001371
F,2012,73,1225997,20404,20487,1012526
F,2013,73,1283038,21441,21322,1051844
F,2014,73,1325157,22340,22035,1089183
F,2001,74,1200778,25619,26229,953283
F,2002,74,1172572,24785,25983,948244
F,2003,74,1132589,23784,24848,923900
F,2004,74,1158083,23811,24429,951203
F,2005,74,1087830,22645,23589,914432
F,2006,74,1103768,22420,22658,900873
F,2007,74,1056266,20846,21790,892848
F,2008,74,1098352,22026,21694,874610
F,2009,74,1122140,21494,22040,938799
F,2010,74,1127012,21207,21459,927863
F,2011,74,1155021,21593,21567,935314
F,2012,74,1203075,21953,22047,980638
F,2013,74,1205593,22154,22576,991123
F,2014,74,1261597,23003,22627,1032934
F,2001,75,1176738,26620,28150,925789
F,2002,75,1175159,27029,28177,924736
F,2003,75,1147787,26256,27197,919089
F,2004,75,1108805,24935,25633,894247
F,2005,75,1134272,24880,25377,920144
F,2006,75,1065185,23392,24334,884121
F,2007,75,1081348,23587,23853,870058
