cz,czname,pop2000,fips,statename,stateabbrv,le_raceadj_v1_F,le_raceadj_v1_M,count_v1_F,count_v1_M
14900,Gary,675971.0,18,Indiana,IN,78.56219,71.83359,68848,53407
15000,Canton,700866.0,39,Ohio,OH,78.64357,72.98967,73220,65226
15100,Lorain,423702.0,39,Ohio,OH,77.15096,71.36433,43122,38277
15200,Cleveland,2661167.0,39,Ohio,OH,79.20471,73.5196,292128,282255
15900,Columbus,1663807.0,39,Ohio,OH,78.71824,72.97423,161741,164045
16000,Mansfield,326186.0,39,Ohio,OH,78.91867,72.68645,32052,29598
16100,State College,310658.0,42,Pennsylvania,PA,81.86138,75.21847,27137,23764
16200,Altoona,411749.0,42,Pennsylvania,PA,80.22499,73.95885,43699,40076
16300,Pittsburgh,2561364.0,42,Pennsylvania,PA,78.72504,73.39698,250645,223516
16400,Youngstown,809682.0,39,Ohio,OH,79.34922,73.22858,91992,80711
16500,Erie,659098.0,42,Pennsylvania,PA,79.51687,73.48981,72605,67633
16600,Roanoke,468038.0,51,Virginia,VA,78.38104,72.78417,48615,44721
16702,Morgantown,259942.0,54,West Virginia,WV,79.61702,72.86758,27664,24736
16901,Charleston,347345.0,54,West Virginia,WV,78.64007,71.76716,41840,37037
17100,Huntington,344380.0,21,Kentucky,KY,80.65274,73.07894,43674,36433
17400,Hagerstown,408535.0,42,Pennsylvania,PA,77.81361,73.19865,41926,38767
17600,Charlottesville,273489.0,51,Virginia,VA,81.23296,74.98465,27589,24140
17700,Syracuse,1080612.0,36,New York,NY,79.16354,74.661,103860,97493
17900,Union,294558.0,36,New York,NY,80.17963,73.81955,29657,28572
18000,Buffalo,2369699.0,36,New York,NY,80.42226,74.40646,234055,212111
18100,Elmira,346894.0,36,New York,NY,81.00981,75.44743,35988,32607
